title,domain,description
Software Developer,Software Development,"Designs develops tests and maintains software applications."
Web Developer,Web Development,"Builds and maintains websites and web applications."
Data Analyst,Data Analytics,"Analyzes data to identify trends insights and support business decisions."
Data Scientist,Data Science,"Uses statistics programming and machine learning to extract insights from data."
AI/ML Engineer,Artificial Intelligence,"Designs and develops machine learning and artificial intelligence systems."
Cloud Engineer,Cloud Computing,"Designs deploys and manages cloud infrastructure and services."
DevOps Engineer,DevOps,"Automates software delivery infrastructure and operational processes."
Cybersecurity Analyst,Cybersecurity,"Monitors systems and protects organizations from security threats."
Network Engineer,Networking,"Designs configures and maintains computer networks."
Database Administrator,Database Management,"Manages databases including performance security backup and recovery."
